ref_CEE,cout_min,cout_max,cout_moy,unite,source,nom_fiche
IND-UT-103,400.0,700.0,550.0,kW,table_interne_marche,Compresseur air performant industriel
IND-UT-104,300.0,550.0,425.0,kW,table_interne_marche,Moteur haut rendement IE3/IE4
IND-UT-105,450.0,800.0,625.0,kW,table_interne_marche,Brûleur micro-modulant
IND-UT-106,180.0,320.0,250.0,kW,table_interne_marche,Brûleur micro-modulant condensation
IND-UT-108,80.0,150.0,115.0,kW,table_interne_marche,Détection fuites réseau air comprimé
IND-UT-109,400.0,700.0,550.0,kW froid,table_interne_marche,Optimisation production froid industriel
IND-UT-112,8000.0,25000.0,16500.0,site,table_interne_marche,Système mesurage indicateurs énergétiques
IND-UT-113,600.0,1000.0,800.0,kW,table_interne_marche,Récupérateur chaleur fumées chaudière
IND-UT-114,340.0,580.0,460.0,kW,table_interne_marche,Moto-variateur synchrone aimants
IND-UT-116,200.0,380.0,290.0,kW,table_interne_marche,Régulation haute pression flottante
IND-UT-118,200.0,380.0,290.0,kW,table_interne_marche,Brûleur récup chaleur four industriel
IND-UT-120,500.0,900.0,700.0,kW,table_interne_marche,Compresseur air basse pression
IND-UT-122,350.0,600.0,475.0,kW,table_interne_marche,Sécheur air comprimé adsorption
IND-UT-124,250.0,450.0,350.0,kW,table_interne_marche,Séquenceur centrale air comprimé
IND-UT-125,1500.0,2800.0,2150.0,installation,table_interne_marche,Traitement eau chaudière vapeur
IND-UT-127,400.0,700.0,550.0,kW,table_interne_marche,Système transmission performant
IND-UT-129,350.0,600.0,475.0,kW,table_interne_marche,Presse injection tout électrique/hybride
IND-UT-130,700.0,1200.0,950.0,kW,table_interne_marche,Condenseur effluents gazeux chaudière
IND-UT-131,500.0,900.0,700.0,kW,table_interne_marche,Isolation parois planes/cylindriques
IND-UT-132,250.0,450.0,350.0,kW,table_interne_marche,Moteur asynchrone IE4
IND-UT-133,300.0,520.0,410.0,kW,table_interne_marche,Système pilotage moteur récupération
IND-UT-134,120.0,220.0,170.0,kW,table_interne_marche,Mesurage indicateurs performance énergétique
IND-UT-135,400.0,700.0,550.0,kW,table_interne_marche,Freecooling eau refroidissement
IND-UT-137,600.0,1000.0,800.0,kW,table_interne_marche,PAC rehausse T° chaleur fatale
IND-UT-138,350.0,600.0,475.0,kW,table_interne_marche,Conversion chaleur fatale électricité/air
IND-UT-139,450.0,800.0,625.0,kW,table_interne_marche,Stockage chaleur fatale
IND-UT-140,300.0,520.0,410.0,kW,table_interne_marche,Mise en veille machine air comprimé
RES-CH-101,800.0,2500.0,1650.0,logement,table_interne_marche,Raccordement réseau chaleur EnR&R
RES-CH-102,150.0,300.0,225.0,logement,table_interne_marche,Comptage individuel réseau chaleur
RES-CH-103,150.0,280.0,215.0,ml,table_interne_marche,Réhabilitation poste livraison chaleur tertiaire
RES-CH-104,200.0,350.0,275.0,ml,table_interne_marche,Réhabilitation poste livraison chaleur résidentiel
RES-CH-105,80.0,150.0,115.0,m²,table_interne_marche,Passage réseau basse température
RES-CH-106,120.0,220.0,170.0,m,table_interne_marche,Calorifugeage canalisations réseau
RES-CH-107,800.0,2000.0,1400.0,ml,table_interne_marche,Extension réseau de chaleur EnR
RES-CH-108,180.0,320.0,250.0,ml,table_interne_marche,Récupération chaleur fatale réseau
RES-EC-103,200.0,500.0,350.0,ml,table_interne_marche,Réhabilitation réseau de chaleur
RES-EC-104,60.0,120.0,90.0,point,table_interne_marche,Rénovation éclairage extérieur
TRA-EQ-101,1000.0,1800.0,1400.0,unité,table_interne_marche,Unité transport intermodal rail-route
TRA-EQ-103,2000.0,3500.0,2750.0,unité,table_interne_marche,Télématique embarquée suivi conduite
TRA-EQ-104,1500.0,2800.0,2150.0,unité,table_interne_marche,Lubrifiant économiseur énergie VL
TRA-EQ-106,500.0,900.0,700.0,unité,table_interne_marche,Pneus basse résistance roulement
TRA-EQ-107,3000.0,5500.0,4250.0,unité,table_interne_marche,Unité transport intermodal fluvial-route
TRA-EQ-108,3500.0,6500.0,5000.0,unité,table_interne_marche,Wagon autoroute ferroviaire
TRA-EQ-109,2500.0,4500.0,3500.0,unité,table_interne_marche,Barge fluviale
TRA-EQ-110,4000.0,7000.0,5500.0,unité,table_interne_marche,Automoteur fluvial
TRA-EQ-111,1500.0,2800.0,2150.0,unité,table_interne_marche,Groupe frigorifique haute efficacité
TRA-EQ-113,50.0,120.0,85.0,unité,table_interne_marche,Lubrifiant économiseur énergie transport
TRA-EQ-114,800.0,1400.0,1100.0,unité,table_interne_marche,Véhicule léger électrique personne morale
TRA-EQ-115,600.0,1100.0,850.0,unité,table_interne_marche,Véhicule transport marchandises optimisé
TRA-EQ-117,350.0,600.0,475.0,unité,table_interne_marche,Véhicule léger électrique particulier
TRA-EQ-118,800.0,1500.0,1150.0,unité,table_interne_marche,Aérodynamique poids lourd
TRA-EQ-119,5000.0,9000.0,7000.0,unité,table_interne_marche,Aide au démarrage poids lourd
TRA-EQ-120,3000.0,5500.0,4250.0,unité,table_interne_marche,Rétrofit électrique poids lourd
TRA-EQ-121,2500.0,4500.0,3500.0,unité,table_interne_marche,Aérodynamique autocar
TRA-EQ-122,1200.0,2200.0,1700.0,unité,table_interne_marche,Rétrofit électrique autocar
TRA-EQ-123,4000.0,7000.0,5500.0,unité,table_interne_marche,Simulateur de conduite
TRA-EQ-124,2000.0,3500.0,2750.0,unité,table_interne_marche,Branchement électrique navires quai
TRA-EQ-125,25000.0,60000.0,42500.0,unité,table_interne_marche,Stop & Start véhicules ferroviaires
TRA-EQ-126,8000.0,14000.0,11000.0,unité,table_interne_marche,Remotorisation électrique/hybride bateau
TRA-EQ-127,35000.0,55000.0,45000.0,unité,table_interne_marche,Bateau électrique/hybride eaux intérieures
TRA-EQ-128,40000.0,70000.0,55000.0,unité,table_interne_marche,Autocar/autobus électrique
TRA-EQ-129,28000.0,48000.0,38000.0,unité,table_interne_marche,Poids lourd électrique
TRA-EQ-130,8000.0,15000.0,11500.0,unité,table_interne_marche,Quadricycle électrique
TRA-EQ-131,3000.0,6000.0,4500.0,unité,table_interne_marche,Vélos-cargos électriques
TRA-EQ-132,6000.0,10000.0,8000.0,unité,table_interne_marche,Mesure conso carburant navire pêche
TRA-SE-101,250.0,450.0,350.0,personne,table_interne_marche,Formation chauffeur transport économe
TRA-SE-102,200.0,380.0,290.0,personne,table_interne_marche,Formation chauffeur VL économe
TRA-SE-103,200.0,380.0,290.0,personne,table_interne_marche,Formation écoconduite
TRA-SE-104,250.0,450.0,350.0,personne,table_interne_marche,Formation conduite économe moto
TRA-SE-105,200.0,380.0,290.0,personne,table_interne_marche,Formation conduite économe VL
TRA-SE-106,180.0,320.0,250.0,personne,table_interne_marche,Formation écoconduite alt
TRA-SE-107,300.0,550.0,425.0,personne,table_interne_marche,Formation écoconduite poids lourd
TRA-SE-108,3000.0,5500.0,4250.0,site,table_interne_marche,Formation écoconduite autocar
TRA-SE-109,2000.0,3500.0,2750.0,site,table_interne_marche,Formation écoconduite VUL
TRA-SE-110,1500.0,2800.0,2150.0,site,table_interne_marche,Gestion poste pneumatique marchandises
TRA-SE-111,5000.0,9000.0,7000.0,site,table_interne_marche,Gestion poste pneumatique personnes
TRA-SE-112,4000.0,7000.0,5500.0,unité,table_interne_marche,Service autopartage en boucle
TRA-SE-113,3000.0,5500.0,4250.0,site,table_interne_marche,Suivi conso carburants cartes privatives
TRA-SE-116,2.0,5.0,3.0,UTI.km,table_interne_marche,Fret ferroviaire
TRA-SE-117,1.0,3.0,2.0,t.km,table_interne_marche,Fret fluvial
